,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
3063,nanihaal,9/29/25,Delhi,rajouri garden,1386535,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
3064,nanihaal,9/29/25,Delhi,paschim vihar,1400967,"masala, pickle and papad",whole spices,elaichi,nanihaal hari elaichi,20 g,451167,No,,,215,1,215
3065,nanihaal,9/29/25,Kolkata,salt lake,1386097,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
3066,nanihaal,9/29/25,Delhi,hauz khas,1404584,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,3,120
3067,nanihaal,9/29/25,Kolkata,garia,1386270,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
3068,nanihaal,9/29/25,Mumbai,kurla,1062416,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,2,136
3069,nanihaal,9/29/25,Lucknow,aliganj,1339714,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
3070,nanihaal,9/29/25,Chandigarh,south mohali,1403831,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
3071,nanihaal,9/29/25,Bhubaneswar,chandrashekarpur,1400964,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3072,nanihaal,9/29/25,Chandigarh,north mohali,1390220,"masala, pickle and papad",whole spices,cinnamon,nanihaal dal cheeni,50 g,573571,No,,,75,1,75
3073,nanihaal,9/29/25,Vadodara,manjalpur,1400984,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
3074,nanihaal,9/29/25,Faridabad,greenfields,1391899,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
3075,nanihaal,9/29/25,Noida,shalimar garden,1399806,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3076,nanihaal,9/29/25,Gurgaon,old gurgaon (zone 6),1382659,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3077,nanihaal,9/29/25,Mumbai,chembur,1391897,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3078,nanihaal,9/29/25,Noida 1,sector 64,1383133,"masala, pickle and papad",whole spices,elaichi,nanihaal moti elaichi,50 g,642095,No,,,255,1,255
3079,nanihaal,9/29/25,Gurgaon,new cyber city,1404592,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3080,nanihaal,9/29/25,Jaipur,mansarovar extension,1401477,"masala, pickle and papad",whole spices,mustard seeds,nanihaal black kaali rai,100 g,476460,No,,,48,1,48
3081,nanihaal,9/29/25,Kolkata,chinar park,867466,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3082,nanihaal,9/29/25,Ahmedabad,chandkheda,1388195,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,2,136
3083,nanihaal,9/29/25,Mathura,shankar_vihar,1402076,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
3084,nanihaal,9/29/25,Cuttack,cda,1402075,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3085,nanihaal,9/29/25,Delhi,ashok vihar,816651,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3086,nanihaal,9/29/25,Central Goa,panaji,1381971,"masala, pickle and papad",whole spices,garam masala,nanihaal garam masala,100 g,324671,No,,,190,1,190
3087,nanihaal,9/29/25,Delhi,new lajpat nagar,1387704,"masala, pickle and papad",whole spices,jeera,nanihaal jeera,200 g,655718,No,,,170,1,170
3088,nanihaal,9/29/25,Delhi,greater kailash 2,1267917,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3089,nanihaal,9/29/25,Mumbai,kalyan,1388387,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
3090,nanihaal,9/29/25,Mumbai,kasarwadawali,1396296,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3091,nanihaal,9/29/25,Noida,crossing republic,1404167,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3092,nanihaal,9/29/25,Gurgaon,huda city,1400549,"masala, pickle and papad",whole spices,elaichi,nanihaal moti elaichi,50 g,642095,No,,,255,2,510
3093,nanihaal,9/29/25,Gurgaon,imt manesar,1387568,"masala, pickle and papad",whole spices,ajwain,nanihaal ajwain,100 g,903650,No,,,70,1,70
3094,nanihaal,9/29/25,Lucknow,aliganj,1400974,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3095,nanihaal,9/29/25,Mumbai,scruz bandra east,1403030,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3096,nanihaal,9/29/25,Noida 1,noida expressway,1397625,"masala, pickle and papad",whole spices,garam masala,nanihaal garam masala,100 g,324671,No,,,190,1,190
3097,nanihaal,9/29/25,Gurgaon,sohna road,1389633,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
3098,nanihaal,9/29/25,Kolkata,central kolkata,1385840,"masala, pickle and papad",whole spices,ajwain,nanihaal ajwain,100 g,903650,No,,,70,1,70
3099,nanihaal,9/29/25,Noida 1,sector 50,1390227,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,2,136
3100,nanihaal,9/29/25,Gurgaon,cyber city,1380623,"masala, pickle and papad",whole spices,jeera,nanihaal jeera,200 g,655718,No,,,170,1,170
3101,nanihaal,9/29/25,Noida 1,noida expressway,1397625,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3102,nanihaal,9/29/25,Mumbai,marol sakinaka,1399809,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3103,nanihaal,9/29/25,Ranchi,lalpur,1400560,"masala, pickle and papad",whole spices,sesame,nanihaal safed til,100 g,171845,No,,,57,1,57
